identifier,label,shortLabel,measurementUnitIdentifier,Metadata,SubCategoryID,Subcategory,CategoryID,Category,Source
92558,Rolling quarterly average proportion of E. coli blood specimens resistant to piperacillin/tazobactam; by quarter,Rolling quarterly average proportion of E. coli blood specimens resistant to piperacillin/tazobactam; by quarter,People,https://fingertips.phe.org.uk/search/92558,2,CCG,2,CCG,Fingertips 20190806
92559,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to 3rd generation cephalosporins; by quarter,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to 3rd generation cephalosporins; by quarter,People,https://fingertips.phe.org.uk/search/92559,2,CCG,2,CCG,Fingertips 20190806
92602,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to at least 3 of the key antimicrobials; by quarter,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to at least 3 of the key antimicrobials; by quarter,People,https://fingertips.phe.org.uk/search/92602,2,CCG,2,CCG,Fingertips 20190806
92603,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to any 1 of the key antimicrobials; by quarter,Rolling quarterly average proportion of E. coli blood specimens non-susceptible to any 1 of the key antimicrobials; by quarter,People,https://fingertips.phe.org.uk/search/92603,2,CCG,2,CCG,Fingertips 20190806
93004,"E. coli hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month","E. coli hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93004,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93005,"E. coli bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month","E. coli bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93005,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93006,"E. coli bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month","E. coli bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93006,2,CCG,2,CCG,Fingertips 20190806
93007,"E. coli bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month","E. coli bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93007,2,CCG,2,CCG,Fingertips 20190806
93042,Four quarter rolling rate of total antibiotic prescribing per 1000 admissions; by acute trust,Four quarter rolling rate of total antibiotic prescribing per 1000 admissions; by acute trust,People,https://fingertips.phe.org.uk/search/93042,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93044,Four quarter rolling rate of piperacillin-tazobactam prescribing per 1000 admissions; by acute trust,Four quarter rolling rate of piperacillin-tazobactam prescribing per 1000 admissions; by acute trust,People,https://fingertips.phe.org.uk/search/93044,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93045,Four quarter rolling rate of carbapenem prescribing per 1000 admissions; by acute trust and quarter,Four quarter rolling rate of carbapenem prescribing per 1000 admissions; by acute trust and quarter,People,https://fingertips.phe.org.uk/search/93045,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93056,"E. coli completion of risk factor information, by CCG","E. coli completion of risk factor information, by CCG",People,https://fingertips.phe.org.uk/search/93056,2,CCG,2,CCG,Fingertips 20190806
93058,"Klebsiella spp. bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month","Klebsiella spp. bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93058,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93059,"Klebsiella spp. hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month","Klebsiella spp. hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93059,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93060,"Klebsiella spp. bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month","Klebsiella spp. bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93060,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93061,"Klebsiella spp. bacteraemia counts and 12-month rolling rates, by CCG and month","Klebsiella spp. bacteraemia counts and 12-month rolling rates, by CCG and month",People,https://fingertips.phe.org.uk/search/93061,2,CCG,2,CCG,Fingertips 20190806
93062,"Klebsiella spp. bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month","Klebsiella spp. bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93062,2,CCG,2,CCG,Fingertips 20190806
93063,"Klebsiella spp. bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month","Klebsiella spp. bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93063,2,CCG,2,CCG,Fingertips 20190806
93064,"P. aeruginosa bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month","P. aeruginosa bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93064,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93065,"P. aeruginosa hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month","P. aeruginosa hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93065,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93066,"P. aeruginosa bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month","P. aeruginosa bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93066,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93067,"P. aeruginosa bacteraemia counts and 12-month rolling rates, by CCG and month","P. aeruginosa bacteraemia counts and 12-month rolling rates, by CCG and month",People,https://fingertips.phe.org.uk/search/93067,2,CCG,2,CCG,Fingertips 20190806
93068,"P. aeruginosa bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month","P. aeruginosa bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93068,2,CCG,2,CCG,Fingertips 20190806
93069,"P. aeruginosa bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month","P. aeruginosa bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93069,2,CCG,2,CCG,Fingertips 20190806
93184,Rolling quarterly average proportion of gentamicin non-susceptible E. coli blood specimens; by quarter,Rolling quarterly average proportion of gentamicin non-susceptible E. coli blood specimens; by quarter,People,https://fingertips.phe.org.uk/search/93184,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93186,Rolling quarterly average proportion of ciprofloxacin non-susceptible E. coli blood specimens; by quarter,Rolling quarterly average proportion of ciprofloxacin non-susceptible E. coli blood specimens; by quarter,People,https://fingertips.phe.org.uk/search/93186,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93187,Rolling quarterly average proportion of piperacillin/tazobactam resistant E. coli blood specimens; by quarter,Rolling quarterly average proportion of piperacillin/tazobactam resistant E. coli blood specimens; by quarter,People,https://fingertips.phe.org.uk/search/93187,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93188,Rolling quarterly average proportion of 3rd generation cephalosporin non-susceptible E. coli blood specimens; by quarter,Rolling quarterly average proportion of 3rd generation cephalosporin non-susceptible E. coli blood specimens; by quarter,People,https://fingertips.phe.org.uk/search/93188,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93365,"MSSA total cases counts and 12-month rolling rates, by reporting acute trust and month","MSSA total cases counts and 12-month rolling rates, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93365,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93369,"MSSA cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month","MSSA cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93369,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93373,"MSSA cases counts and 12-month rolling rates of hospital-onset, by CCG and month","MSSA cases counts and 12-month rolling rates of hospital-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93373,2,CCG,2,CCG,Fingertips 20190806
93374,"MSSA cases counts and 12-month rolling rates of community-onset, by CCG and month","MSSA cases counts and 12-month rolling rates of community-onset, by CCG and month",People,https://fingertips.phe.org.uk/search/93374,2,CCG,2,CCG,Fingertips 20190806
93405,"C. difficile infection counts and 12-month rolling rates of all cases, by reporting acute trust and month","C. difficile infection counts and 12-month rolling rates of all cases, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93405,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93410,"C. difficile infection counts and 12-month rolling rates of community onset-healthcare associated, by reporting acute trust and month","C. difficile infection counts and 12-month rolling rates of community onset-healthcare associated, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93410,1,Acute Trust,1,Acute Trust,Fingertips 20190806
93415,"C. difficile infection counts and 12-month rolling rates community onset-healthcare associated, by CCG and month","C. difficile infection counts and 12-month rolling rates community onset-healthcare associated, by CCG and month",People,https://fingertips.phe.org.uk/search/93415,2,CCG,2,CCG,Fingertips 20190806
93420,"C. difficile infection counts and 12-month rolling rates community onset-community associated, by CCG and month","C. difficile infection counts and 12-month rolling rates community onset-community associated, by CCG and month",People,https://fingertips.phe.org.uk/search/93420,2,CCG,2,CCG,Fingertips 20190806
93427,"C. difficile infection counts and 12-month rolling rates of hospital onset-healthcare associated cases, by reporting acute trust and month","C. difficile infection counts and 12-month rolling rates of hospital onset-healthcare associated cases, by reporting acute trust and month",People,https://fingertips.phe.org.uk/search/93427,1,Acute Trust,1,Acute Trust,Fingertips 20190806
